source_id	description	gene_type	input_ID	external_gene_name	Computed_GO_Component_ID	Computed_GO_Component	Computed_GO_Function_ID	Computed_GO_Function	Computed_GO_Progess_ID	Computed_GO_Progress	Curated_GO_Component_ID	Curated_GO_Component	Curated_GO_Function_ID	Curated_GO_Function	Curated_GO_Process_ID	Curated_GO_Process	ensembl_gene_id	description_1	hyperlopet_allocation
TGME49_233140-t26_1	deoxyuridine 5'-triphosphate nucleotidohydrolase, putative	protein coding gene	TGME49_233140	N/A	N/A	N/A	GO:0004170;GO:0000287	dUTP diphosphatase activity;magnesium ion binding	GO:0006226;GO:0046081	dUMP biosynthetic process;dUTP catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-233140	deoxyuridine 5'-triphosphate nucleotidohydrolase	unknown
TGME49_233450-t26_1	SAG-related sequence SRS29A	protein coding gene	TGME49_233450	SRS1	GO:0016021;GO:0016020	integral component of membrane;membrane	N/A	N/A	N/A	N/A	GO:0005886	plasma membrane	N/A	N/A	N/A	N/A	TGME49-233450	SAG-related sequence SRS29A	PM - peripheral 1
TGME49_233500-t26_1	triose-phosphate isomerase TPI-II	protein coding gene	TGME49_233500	TPI-II	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096;GO:0008152	gluconeogenesis;glycolytic process;metabolic process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	TGME49-233500	triose-phosphate isomerase TPI-II	apicoplast
TGME49_233760-t26_1	hypothetical protein	protein coding gene	TGME49_233760	N/A	GO:0016021	integral component of membrane	N/A	N/A	GO:0007186;GO:0019236	G protein-coupled receptor signaling pathway;response to pheromone	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-233760	hypothetical protein	Golgi
TGME49_233870-t26_1	hypothetical protein	protein coding gene	TGME49_233870	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-233870	hypothetical protein	nucleus - chromatin
TGME49_234190-t26_1	serine hydroxymethyltransferase 2, putative	protein coding gene	TGME49_234190	N/A	N/A	N/A	GO:0003824;GO:0004372;GO:0008168;GO:0030170	catalytic activity;glycine hydroxymethyltransferase activity;methyltransferase activity;pyridoxal phosphate binding	GO:0006563;GO:0019264;GO:0006544;GO:0032259;GO:0035999	L-serine metabolic process;glycine biosynthetic process from serine;glycine metabolic process;methylation;tetrahydrofolate interconversion	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-234190	serine hydroxymethyltransferase 2	unknown
TGME49_234250-t26_1	hypothetical protein	protein coding gene	TGME49_234250	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-234250	hypothetical protein	nucleus - chromatin
TGME49_234380-t26_1	hypothetical protein	protein coding gene	TGME49_234380	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-234380	hypothetical protein	micronemes
TGME49_234540-t26_1	hypothetical protein	protein coding gene	TGME49_234540	N/A	GO:0016021	integral component of membrane	GO:0015095	magnesium ion transmembrane transporter activity	GO:0015693	magnesium ion transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-234540	hypothetical protein	rhoptries 2
TGME49_235130-t26_1	transmembrane protein	protein coding gene	TGME49_235130	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-235130	transmembrane protein	rhoptries 2
TGME49_235150-t26_1	transporter, major facilitator family protein	protein coding gene	TGME49_235150	N/A	GO:0016021	integral component of membrane	GO:0022857	transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-235150	transporter	unknown
TGME49_235340-t26_1	hypothetical protein	protein coding gene	TGME49_235340	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-235340	hypothetical protein	IMC
TGME49_235470-t26_1	myosin A	protein coding gene	TGME49_235470	N/A	GO:0016459	myosin complex	GO:0005524;GO:0003779;GO:0003774	ATP binding;actin binding;cytoskeletal motor activity	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-235470	myosin A	IMC
TGME49_235490-t26_1	hypothetical protein	protein coding gene	TGME49_235490	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-235490	hypothetical protein	cytosol
TGME49_235690-t26_1	hypothetical protein	protein coding gene	TGME49_235690	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-235690	hypothetical protein	IMC
TGME49_235880-t26_1	brain protein 44 family protein	protein coding gene	TGME49_235880	N/A	GO:0005743	mitochondrial inner membrane	N/A	N/A	GO:0006850	mitochondrial pyruvate transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-235880	brain protein 44 family protein	mitochondrion - membranes
TGME49_236570-t26_1	lysine decarboxylase family protein	protein coding gene	TGME49_236570	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-236570	lysine decarboxylase family protein	cytosol
TGME49_237015-t26_1	hypothetical protein	protein coding gene	TGME49_237015	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-237015	hypothetical protein	dense granules
TGME49_237110-t26_1	replication factor C subunit 2, putative	protein coding gene	TGME49_237110	N/A	N/A	N/A	GO:0005524;GO:0003677;GO:0003887	ATP binding;DNA binding;DNA-directed DNA polymerase activity	GO:0006260	DNA replication	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-237110	replication factor C subunit 2	nucleus - chromatin
TGME49_237180-t26_1	hypothetical protein	protein coding gene	TGME49_237180	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-237180	hypothetical protein	rhoptries 1
TGME49_237200-t26_1	sphingolipid delta 4 desaturase/c-4 hydroxylase protein des2 family protein	protein coding gene	TGME49_237200	N/A	GO:0016021	integral component of membrane	GO:0016705;GO:0042284	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;sphingolipid delta-4 desaturase activity	GO:0006633;GO:0006629;GO:0055114;GO:0030148	fatty acid biosynthetic process;lipid metabolic process;obsolete oxidation-reduction process;sphingolipid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-237200	sphingolipid delta 4 desaturase/c-4 hydroxylase protein des2 family protein	ER 1
TGME49_237230-t26_1	hypothetical protein	protein coding gene	TGME49_237230	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-237230	hypothetical protein	dense granules
TGME49_237820-t26_1	IMC sub-compartment protein ISP2	protein coding gene	TGME49_237820	ISP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-237820	IMC sub-compartment protein ISP2	IMC
TGME49_238150-t26_1	hypothetical protein	protein coding gene	TGME49_238150	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-238150	hypothetical protein	PM - integral
TGME49_238380-t26_1	hypothetical protein	protein coding gene	TGME49_238380	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-238380	hypothetical protein	apical 1
TGME49_238390-t26_1	hypothetical protein	protein coding gene	TGME49_238390	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-238390	hypothetical protein	Golgi
TGME49_238950-t26_1	fatty acyl-CoA desaturase, putative	protein coding gene	TGME49_238950	N/A	GO:0016021	integral component of membrane	GO:0016717;GO:0004768	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water;stearoyl-CoA 9-desaturase activity	GO:0006633;GO:0006629;GO:0055114	fatty acid biosynthetic process;lipid metabolic process;obsolete oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-238950	fatty acyl-CoA desaturase	unknown
TGME49_239300-t26_1	hypothetical protein	protein coding gene	TGME49_239300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239300	hypothetical protein	apical 2
TGME49_239320-t26_1	BolA family protein	protein coding gene	TGME49_239320	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239320	BolA family protein	apicoplast
TGME49_239400-t26_1	hypothetical protein	protein coding gene	TGME49_239400	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239400	hypothetical protein	IMC
TGME49_239500-t26_1	proteasome subunit alpha type, putative	protein coding gene	TGME49_239500	N/A	GO:0005737;GO:0005634;GO:0005839;GO:0019773	cytoplasm;nucleus;proteasome core complex;proteasome core complex, alpha-subunit complex	GO:0004175;GO:0004298	endopeptidase activity;threonine-type endopeptidase activity	GO:0051603;GO:0006511	proteolysis involved in cellular protein catabolic process;ubiquitin-dependent protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239500	proteasome subunit alpha type	20S proteasome
TGME49_239530-t26_1	alanine-glyoxylate aminotransferase	protein coding gene	TGME49_239530	N/A	N/A	N/A	GO:0003824;GO:0004760	catalytic activity;serine-pyruvate transaminase activity	GO:0008152	metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239530	alanine-glyoxylate aminotransferase	cytosol
TGME49_239752-t26_1	hypothetical protein	protein coding gene	TGME49_239752	N/A	GO:0016020	membrane	GO:0016757	glycosyltransferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239752	hypothetical protein	dense granules
TGME49_239800-t26_1	hypothetical protein	protein coding gene	TGME49_239800	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-239800	hypothetical protein	IMC
TGME49_240060-t26_1	hypothetical protein	protein coding gene	TGME49_240060	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-240060	hypothetical protein	dense granules
TGME49_240250-t26_1	macro domain-containing protein	protein coding gene	TGME49_240250	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-240250	macro domain-containing protein	nucleus - non-chromatin
TGME49_240380-t26_1	hypothetical protein	protein coding gene	TGME49_240380	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-240380	hypothetical protein	PM - peripheral 2
TGME49_240570-t26_1	hypothetical protein	protein coding gene	TGME49_240570	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-240570	hypothetical protein	IMC
TGME49_240600-t26_1	chaperonin cpn60, putative	protein coding gene	TGME49_240600	N/A	GO:0016021	integral component of membrane	GO:0005524	ATP binding	GO:0044267;GO:0042026	cellular protein metabolic process;protein refolding	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-240600	chaperonin cpn60	apicoplast
TGME49_242570-t26_1	hypothetical protein	protein coding gene	TGME49_242570	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-242570	hypothetical protein	PM - integral
TGME49_242820-t26_1	hypothetical protein	protein coding gene	TGME49_242820	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-242820	hypothetical protein	rhoptries 1
TGME49_243200-t26_1	hypothetical protein	protein coding gene	TGME49_243200	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-243200	hypothetical protein	dense granules
TGME49_243250-t26_1	myosin H	protein coding gene	TGME49_243250	N/A	GO:0016459	myosin complex	GO:0005524;GO:0051015;GO:0003774;GO:0005515	ATP binding;actin filament binding;cytoskeletal motor activity;protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-243250	myosin H	apical 2
TGME49_243690-t26_1	hypothetical protein	protein coding gene	TGME49_243690	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-243690	hypothetical protein	rhoptries 2
TGME49_243710-t26_1	t-complex protein beta subunit	protein coding gene	TGME49_243710	N/A	GO:0005832;GO:0005829	chaperonin-containing T-complex;cytosol	GO:0005524;GO:0051082	ATP binding;unfolded protein binding	GO:0044267;GO:0006457	cellular protein metabolic process;protein folding	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-243710	t-complex protein beta subunit	cytosol
TGME49_243730-t26_1	rhoptry protein ROP9	protein coding gene	TGME49_243730	ROP9	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-243730	rhoptry protein ROP9	rhoptries 1
TGME49_243920-t26_1	DNA replication licensing factor MCM5, putative	protein coding gene	TGME49_243920	N/A	N/A	N/A	GO:0005524;GO:0003677;GO:0016851	ATP binding;DNA binding;magnesium chelatase activity	GO:0006260;GO:0006270;GO:0015995;GO:0015979	DNA replication;DNA replication initiation;chlorophyll biosynthetic process;photosynthesis	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-243920	DNA replication licensing factor MCM5	unknown
TGME49_244250-t26_1	hypothetical protein	protein coding gene	TGME49_244250	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-244250	hypothetical protein	rhoptries 1
TGME49_244470-t26_1	hypothetical protein	protein coding gene	TGME49_244470	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-244470	hypothetical protein	apical 1
TGME49_244530-t26_1	hypothetical protein	protein coding gene	TGME49_244530	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-244530	hypothetical protein	dense granules
TGME49_244690-t26_1	hypothetical protein	protein coding gene	TGME49_244690	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-244690	hypothetical protein	cytosol
TGME49_244910-t26_1	MIZ/SP-RING zinc finger domain-containing protein	protein coding gene	TGME49_244910	N/A	N/A	N/A	GO:0008270	zinc ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-244910	MIZ/SP-RING zinc finger domain-containing protein	nucleus - chromatin
TGME49_245432-t26_1	hypothetical protein	protein coding gene	TGME49_245432	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-245432	hypothetical protein	dense granules
TGME49_245485-t26_1	microneme protein MIC9	protein coding gene	TGME49_245485	MIC9	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-245485	microneme protein MIC9	micronemes
TGME49_245490-t26_1	microneme protein MIC8	protein coding gene	TGME49_245490	MIC8	GO:0016021	integral component of membrane	GO:0005509	calcium ion binding	N/A	N/A	GO:0045177	apical part of cell	N/A	N/A	N/A	N/A	TGME49-245490	microneme protein MIC8	micronemes
TGME49_245640-t26_1	hypothetical protein	protein coding gene	TGME49_245640	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-245640	hypothetical protein	apical 1
TGME49_245670-t26_1	pyruvate dehydrogenase complex subunit PDH-E1Alpha	protein coding gene	TGME49_245670	PDHE1A	GO:0043231	intracellular membrane-bounded organelle	GO:0003824;GO:0016624;GO:0004739;GO:0030976	catalytic activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;pyruvate dehydrogenase (acetyl-transferring) activity;thiamine pyrophosphate binding	GO:0006086;GO:0008152	acetyl-CoA biosynthetic process from pyruvate;metabolic process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	TGME49-245670	pyruvate dehydrogenase complex subunit PDH-E1Alpha	apicoplast
TGME49_246080-t26_1	NAD dependent epimerase/dehydratase family protein	protein coding gene	TGME49_246080	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-246080	NAD dependent epimerase/dehydratase family protein	cytosol
TGME49_246100-t26_1	phosducin, putative	protein coding gene	TGME49_246100	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-246100	phosducin	unknown
TGME49_246178-t26_1	hypothetical protein	protein coding gene	TGME49_246178	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-246178	hypothetical protein	rhoptries 2
TGME49_246720-t26_1	hypothetical protein	protein coding gene	TGME49_246720	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-246720	hypothetical protein	apical 2
TGME49_246930-t26_1	calmodulin CAM1	protein coding gene	TGME49_246930	CAM1	N/A	N/A	GO:0005509	calcium ion binding	N/A	N/A	GO:0045177;GO:0070258	apical part of cell;inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-246930	calmodulin CAM1	apical 2
TGME49_246940-t26_1	hypothetical protein	protein coding gene	TGME49_246940	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-246940	hypothetical protein	IMC
TGME49_246950-t26_1	hypothetical protein	protein coding gene	TGME49_246950	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-246950	hypothetical protein	apical 1
TGME49_247195-t26_1	microneme protein MIC15	protein coding gene	TGME49_247195	MIC15	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-247195	microneme protein MIC15	PM - integral
TGME49_247670-t26_1	ribulose-phosphate 3 epimerase family protein	protein coding gene	TGME49_247670	N/A	N/A	N/A	GO:0003824;GO:0016857;GO:0004750	catalytic activity;racemase and epimerase activity, acting on carbohydrates and derivatives;ribulose-phosphate 3-epimerase activity	GO:0005975	carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-247670	ribulose-phosphate 3 epimerase family protein	cytosol
TGME49_247960-t26_1	hypothetical protein	protein coding gene	TGME49_247960	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-247960	hypothetical protein	rhoptries 2
TGME49_248140-t26_1	hypothetical protein	protein coding gene	TGME49_248140	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-248140	hypothetical protein	dense granules
TGME49_248670-t26_1	V-type H(+)-translocating pyrophosphatase VP1	protein coding gene	TGME49_248670	N/A	GO:0016021;GO:0016020	integral component of membrane;membrane	GO:0004427;GO:0009678	inorganic diphosphatase activity;pyrophosphate hydrolysis-driven proton transmembrane transporter activity	GO:1902600	proton transmembrane transport	GO:0045177;GO:0000325;GO:0005886	apical part of cell;plant-type vacuole;plasma membrane	N/A	N/A	N/A	N/A	TGME49-248670	V-type H(+)-translocating pyrophosphatase VP1	endomembrane vesicles
TGME49_248880-t26_1	GTPase RAB7	protein coding gene	TGME49_248880	RAB7	GO:0005737;GO:0005622;GO:0005634	cytoplasm;intracellular anatomical structure;nucleus	GO:0005525;GO:0003924	GTP binding;GTPase activity	GO:0007264	small GTPase mediated signal transduction	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-248880	GTPase RAB7	PM - integral
TGME49_249010-t26_1	hypothetical protein	protein coding gene	TGME49_249010	N/A	GO:0005737	cytoplasm	GO:0008168;GO:0016279	methyltransferase activity;protein-lysine N-methyltransferase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-249010	hypothetical protein	cytosol
TGME49_249270-t26_1	protein disulfide isomerase-related protein (provisional), putative	protein coding gene	TGME49_249270	N/A	GO:0005623	obsolete cell	GO:0003756	protein disulfide isomerase activity	GO:0045454	cell redox homeostasis	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-249270	protein disulfide isomerase-related protein (provisional)	unknown
TGME49_249300-t26_1	hypothetical protein	protein coding gene	TGME49_249300	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-249300	hypothetical protein	micronemes
TGME49_249590-t26_1	proteasome subunit alpha type 5-2, putative	protein coding gene	TGME49_249590	N/A	GO:0005737;GO:0005634;GO:0005839;GO:0019773	cytoplasm;nucleus;proteasome core complex;proteasome core complex, alpha-subunit complex	GO:0004175;GO:0004298	endopeptidase activity;threonine-type endopeptidase activity	GO:0043161;GO:0051603;GO:0006511	proteasome-mediated ubiquitin-dependent protein catabolic process;proteolysis involved in cellular protein catabolic process;ubiquitin-dependent protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-249590	proteasome subunit alpha type 5-2	20S proteasome
TGME49_249710-t26_1	Parkinson disease 7 domain containing 1 family protein	protein coding gene	TGME49_249710	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-249710	Parkinson disease 7 domain containing 1 family protein	nucleus - chromatin
TGME49_249780-t26_1	hypothetical protein	protein coding gene	TGME49_249780	N/A	N/A	N/A	GO:0004112	cyclic-nucleotide phosphodiesterase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-249780	hypothetical protein	cytosol
TGME49_249850-t26_1	GAP40 protein	protein coding gene	TGME49_249850	GAP40	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0070258	inner membrane pellicle complex	N/A	N/A	N/A	N/A	TGME49-249850	GAP40 protein	IMC
TGME49_250690-t26_1	zinc finger (CCCH type) motif-containing protein	protein coding gene	TGME49_250690	N/A	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-250690	zinc finger (CCCH type) motif-containing protein	nucleus - chromatin
TGME49_250820-t26_1	hypothetical protein	protein coding gene	TGME49_250820	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-250820	hypothetical protein	apical 1
TGME49_251540-t26_1	dense granule protein GRA9	protein coding gene	TGME49_251540	GRA9	N/A	N/A	N/A	N/A	N/A	N/A	GO:0045177;GO:0020003	apical part of cell;symbiont-containing vacuole	N/A	N/A	N/A	N/A	TGME49-251540	dense granule protein GRA9	dense granules
TGME49_251930-t26_1	enoyl-acyl carrier reductase ENR	protein coding gene	TGME49_251930	ENR	N/A	N/A	GO:0004318;GO:0016631	enoyl-[acyl-carrier-protein] reductase (NADH) activity;enoyl-[acyl-carrier-protein] reductase activity	GO:0006633;GO:0055114	fatty acid biosynthetic process;obsolete oxidation-reduction process	GO:0020011	apicoplast	N/A	N/A	N/A	N/A	TGME49-251930	enoyl-acyl carrier reductase ENR	apicoplast
TGME49_252210-t26_1	pentatricopeptide repeat domain-containing protein	protein coding gene	TGME49_252210	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-252210	pentatricopeptide repeat domain-containing protein	nucleus - chromatin
TGME49_252360-t26_1	rhoptry kinase family protein ROP24 (incomplete catalytic triad)	protein coding gene	TGME49_252360	ROP24	N/A	N/A	GO:0005524;GO:0004683;GO:0004672	ATP binding;calmodulin-dependent protein kinase activity;protein kinase activity	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-252360	rhoptry kinase family protein ROP24 (incomplete catalytic triad)	rhoptries 1
TGME49_252500-t26_1	polo kinase	protein coding gene	TGME49_252500	N/A	N/A	N/A	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-252500	polo kinase	rhoptries 1
TGME49_252880-t26_1	hypothetical protein	protein coding gene	TGME49_252880	N/A	N/A	N/A	N/A	N/A	GO:0007186	G protein-coupled receptor signaling pathway	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-252880	hypothetical protein	apical 1
TGME49_253100-t26_1	hypothetical protein	protein coding gene	TGME49_253100	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253100	hypothetical protein	rhoptries 2
TGME49_253130-t26_1	transporter, major facilitator family protein	protein coding gene	TGME49_253130	N/A	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253130	transporter	unknown
TGME49_253170-t26_1	zinc carboxypeptidase, putative	protein coding gene	TGME49_253170	N/A	GO:0016021	integral component of membrane	GO:0004181;GO:0008270	metallocarboxypeptidase activity;zinc ion binding	GO:0006508	proteolysis	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253170	zinc carboxypeptidase	Golgi
TGME49_253360-t26_1	hypothetical protein	protein coding gene	TGME49_253360	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253360	hypothetical protein	PM - integral
TGME49_253370-t26_1	hypothetical protein	protein coding gene	TGME49_253370	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253370	hypothetical protein	rhoptries 1
TGME49_253380-t26_1	AP2 domain transcription factor AP2III-2	protein coding gene	TGME49_253380	AP2III2	N/A	N/A	GO:0003700	DNA-binding transcription factor activity	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253380	AP2 domain transcription factor AP2III-2	nucleus - chromatin
TGME49_253400-t26_1	hypothetical protein	protein coding gene	TGME49_253400	N/A	N/A	N/A	N/A	N/A	GO:0006491	N-glycan processing	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253400	hypothetical protein	nucleus - chromatin
TGME49_253650-t26_1	DnaJ C terminal region domain-containing protein	protein coding gene	TGME49_253650	N/A	GO:0016021	integral component of membrane	GO:0005524;GO:0031072;GO:0046872;GO:0051082	ATP binding;heat shock protein binding;metal ion binding;unfolded protein binding	GO:0006457;GO:0009408	protein folding;response to heat	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253650	DnaJ C terminal region domain-containing protein	apicoplast
TGME49_253690-t26_1	hypothetical protein	protein coding gene	TGME49_253690	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253690	hypothetical protein	PM - integral
TGME49_253730-t26_1	importin-beta N-terminal domain-containing protein	protein coding gene	TGME49_253730	N/A	GO:0005634	nucleus	GO:0008536;GO:0008565;GO:0005515	Ran GTPase binding;obsolete protein transporter activity;protein binding	GO:0006886	intracellular protein transport	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253730	importin-beta N-terminal domain-containing protein	cytosol
TGME49_253910-t26_1	hypothetical protein	protein coding gene	TGME49_253910	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	TGME49-253910	hypothetical protein	nucleus - chromatin
